timestamp,stage,task
1764763667.387588,session_start,
1764763667.389122,concentration,
1764763668.401582,image,T1
1764763670.914444,action,T1
1764763674.423363,relax,
1764763676.935998,rest,
1764763678.448371,concentration,
1764763679.455723,image,T2
1764763681.968337,action,T2
1764763685.484911,relax,
1764763687.986454,rest,
1764763689.495972,concentration,
1764763690.509862,image,T3
1764763693.028273,action,T3
1764763696.530146,relax,
1764763699.041182,rest,
1764763700.546963,concentration,
1764763701.559566,image,T4
1764763704.069886,action,T4
1764763707.586114,relax,
1764763710.092168,rest,
1764763711.605908,concentration,
1764763712.617194,image,T5
1764763715.139528,action,T5
1764763718.644908,relax,
1764763721.151167,rest,
1764763722.660460,concentration,
1764763723.663530,image,T6
1764763726.176199,action,T6
1764763729.688839,relax,
1764763732.199861,rest,
1764763733.711137,concentration,
1764763734.725848,image,T7
1764763737.237246,action,T7
1764763740.739609,relax,
1764763743.241442,rest,
1764763744.753636,session_end,
