Timestamp,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8
1764762575.8260665,-381.645,-2317.95,-26117.28,-11163.555,-18487.17,-25499.07,-5488.965,-1025.55
1764762575.8260665,-386.46,-2323.98,-26124.84,-11170.98,-18493.83,-25504.02,-5491.844999999999,-1029.915
1764762575.8260665,-384.12,-2322.315,-26123.625,-11169.72,-18491.49,-25500.195,-5489.46,-1027.215
1764762575.8270864,-388.035,-2326.77,-26130.33,-11175.57,-18495.945,-25502.4,-5490.179999999999,-1030.815
1764762575.8270864,-386.235,-2325.78,-26129.655,-11174.175,-18493.65,-25498.305,-5488.514999999999,-1029.33
1764762575.8270864,-380.52,-2319.39,-26122.95,-11167.83,-18487.755,-25492.995,-5485.32,-1024.605
1764762575.8270864,-384.12,-2322.54,-26124.93,-11170.8,-18491.355,-25497.63,-5488.785,-1029.105
1764762575.8270864,-387.765,-2325.195,-26127.765,-11173.32,-18494.415,-25502.805,-5491.349999999999,-1032.57
1764762575.8270864,-386.55,-2322.225,-26125.605,-11170.71,-18492.525,-25503.165,-5490.585,-1030.59
1764762575.8270864,-381.645,-2316.51,-26119.62,-11165.22,-18488.295,-25500.915,-5488.11,-1025.685
1764762575.8270864,-384.03,-2319.255,-26123.04,-11169.27,-18491.94,-25503.93,-5489.594999999999,-1027.485
1764762575.8270864,-390.15,-2327.805,-26131.635,-11178.495,-18497.925,-25509.015,-5492.969999999999,-1032.57
1764762575.8270864,-390.06,-2327.895,-26131.68,-11178.63,-18498.105,-25508.565,-5493.78,-1032.57
1764762575.8280833,-383.895,-2322.0,-26125.83,-11172.465,-18493.155,-25502.265,-5490.764999999999,-1028.34
1764762575.8280833,-382.455,-2319.705,-26123.715,-11169.945,-18489.87,-25498.395,-5487.885,-1027.215
1764762575.8280833,-383.805,-2320.965,-26124.255,-11170.26,-18489.555,-25497.045,-5487.165,-1028.205
1764762575.8280833,-391.95,-2328.48,-26130.645,-11175.255,-18494.595,-25501.545,-5489.235,-1034.28
1764762575.8280833,-388.53,-2324.295,-26126.37,-11170.89,-18492.525,-25500.78,-5487.84,-1031.355
1764762575.8280833,-379.53,-2316.735,-26119.485,-11166.93,-18490.995,-25499.97,-5485.139999999999,-1023.57
1764762575.8280833,-382.95,-2319.525,-26121.105,-11168.865,-18493.515,-25504.065,-5486.445,-1025.415
1764762575.8280833,-379.125,-2315.655,-26116.605,-11164.77,-18489.69,-25500.87,-5484.195,-1022.625
1764762575.8737009,-382.905,-2318.94,-26120.295,-11168.955,-18492.93,-25504.425,-5486.535,-1027.35
1764762575.8737009,-384.255,-2320.11,-26122.41,-11169.855,-18492.705,-25503.12,-5487.03,-1027.44
